# BASE TAG_all TGA_all TAA_all tag_minus_all_mean_cds tga_minus_all_mean_cds taa_minus_all_mean_cds
# colour 0:0:0 230:25:75 60:180:75 0:130:200 255:225:25 145:30:180
# label TAG_all TGA_all TAA_all tag_minus_all_mean_cds tga_minus_all_mean_cds taa_minus_all_mean_cds
# name black red green blue yellow purple
1001 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1002 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1003 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1004 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1005 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1006 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1007 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1008 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1009 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1010 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1011 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1012 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1013 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1014 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1015 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1016 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1017 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1018 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1019 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1020 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1021 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1022 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1023 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1024 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1025 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1026 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1027 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1028 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1029 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1030 54.0 67.0 69.0 0.0 0.0 628.6666666666666
1031 55.0 64.0 71.0 0.0 0.0 0.0
1032 55.0 64.0 71.0 0.0 0.0 0.0
1033 55.0 64.0 71.0 0.0 0.0 0.0
1034 55.0 64.0 71.0 0.0 0.0 0.0
1035 55.0 64.0 71.0 0.0 0.0 0.0
1036 55.0 64.0 71.0 0.0 0.0 0.0
1037 55.0 64.0 71.0 0.0 0.0 0.0
1038 55.0 64.0 71.0 0.0 0.0 0.0
1039 55.0 64.0 71.0 0.0 0.0 0.0
1040 55.0 64.0 71.0 0.0 0.0 0.0
1041 55.0 64.0 71.0 0.0 0.0 0.0
1042 55.0 64.0 71.0 0.0 0.0 0.0
1043 55.0 64.0 71.0 0.0 0.0 0.0
1044 55.0 64.0 71.0 0.0 0.0 0.0
1045 55.0 64.0 71.0 0.0 0.0 0.0
1046 55.0 64.0 71.0 0.0 0.0 0.0
1047 55.0 64.0 71.0 0.0 0.0 0.0
1048 55.0 64.0 71.0 0.0 0.0 0.0
1049 55.0 64.0 71.0 0.0 0.0 0.0
1050 55.0 64.0 71.0 0.0 0.0 0.0
1051 55.0 64.0 71.0 0.0 0.0 0.0
1052 55.0 64.0 71.0 0.0 0.0 0.0
1053 55.0 64.0 71.0 0.0 0.0 0.0
1054 55.0 64.0 71.0 0.0 0.0 0.0
1055 55.0 64.0 71.0 0.0 0.0 0.0
1056 55.0 64.0 71.0 0.0 0.0 0.0
1057 55.0 64.0 71.0 0.0 0.0 0.0
1058 55.0 64.0 71.0 0.0 0.0 0.0
1059 55.0 64.0 71.0 0.0 0.0 0.0
1060 55.0 64.0 71.0 0.0 0.0 0.0
1061 56.0 63.0 72.0 0.0 0.0 0.0
1062 56.0 63.0 72.0 0.0 0.0 0.0
1063 56.0 63.0 72.0 0.0 0.0 0.0
1064 56.0 63.0 72.0 0.0 0.0 0.0
1065 56.0 63.0 72.0 0.0 0.0 0.0
1066 56.0 63.0 72.0 0.0 0.0 0.0
1067 56.0 63.0 72.0 0.0 0.0 0.0
1068 56.0 63.0 72.0 0.0 0.0 0.0
1069 56.0 63.0 72.0 0.0 0.0 0.0
1070 56.0 63.0 72.0 0.0 0.0 0.0
1071 56.0 63.0 72.0 0.0 0.0 0.0
1072 56.0 63.0 72.0 0.0 0.0 0.0
1073 56.0 63.0 72.0 0.0 0.0 0.0
1074 56.0 63.0 72.0 0.0 0.0 0.0
1075 56.0 63.0 72.0 0.0 0.0 0.0
1076 56.0 63.0 72.0 0.0 0.0 0.0
1077 56.0 63.0 72.0 0.0 0.0 0.0
1078 56.0 63.0 72.0 0.0 0.0 0.0
1079 56.0 63.0 72.0 0.0 0.0 0.0
1080 56.0 63.0 72.0 0.0 0.0 0.0
1081 56.0 63.0 72.0 0.0 0.0 0.0
1082 56.0 63.0 72.0 0.0 0.0 0.0
1083 56.0 63.0 72.0 0.0 0.0 0.0
1084 56.0 63.0 72.0 0.0 0.0 0.0
1085 56.0 63.0 72.0 0.0 0.0 0.0
1086 56.0 63.0 72.0 0.0 0.0 0.0
