# BASE TAA TAG TGA
# colour 0:0:0 230:25:75 60:180:75
# label TAA TAG TGA
# name black red green
106 7.0 2.0 7.0
107 7.0 2.0 8.0
108 7.0 2.0 8.0
109 7.0 2.0 8.0
110 7.0 2.0 8.0
111 7.0 2.0 8.0
112 7.0 2.0 8.0
113 7.0 2.0 8.0
114 8.0 2.0 8.0
115 8.0 2.0 8.0
116 8.0 2.0 8.0
117 8.0 2.0 8.0
118 8.0 2.0 8.0
119 8.0 2.0 8.0
120 8.0 2.0 9.0
121 8.0 2.0 9.0
122 8.0 2.0 9.0
123 8.0 2.0 9.0
124 8.0 2.0 9.0
125 8.0 3.0 9.0
126 8.0 3.0 9.0
127 8.0 3.0 9.0
128 8.0 3.0 9.0
129 8.0 3.0 9.0
130 8.0 3.0 9.0
131 8.0 3.0 9.0
132 8.0 3.0 9.0
133 8.0 3.0 9.0
134 8.0 3.0 9.0
135 8.0 3.0 9.0
136 8.0 3.0 9.0
137 8.0 3.0 9.0
138 8.0 3.0 9.0
139 8.0 3.0 9.0
140 8.0 3.0 9.0
141 8.0 3.0 8.0
142 8.0 3.0 8.0
143 8.0 3.0 8.0
144 8.0 3.0 8.0
145 8.0 3.0 8.0
146 8.0 3.0 8.0
147 8.0 3.0 8.0
148 8.0 3.0 8.0
149 8.0 3.0 8.0
150 8.0 3.0 8.0
151 8.0 3.0 8.0
152 8.0 3.0 8.0
153 8.0 3.0 8.0
154 8.0 3.0 8.0
155 8.0 3.0 9.0
156 8.0 3.0 9.0
157 8.0 3.0 9.0
158 8.0 3.0 9.0
159 8.0 3.0 9.0
160 8.0 3.0 9.0
161 8.0 3.0 9.0
162 8.0 3.0 9.0
163 8.0 3.0 9.0
164 8.0 3.0 9.0
165 9.0 3.0 9.0
166 9.0 3.0 9.0
167 9.0 3.0 9.0
168 9.0 3.0 9.0
169 9.0 3.0 9.0
170 9.0 3.0 9.0
171 9.0 3.0 9.0
172 9.0 3.0 9.0
173 9.0 2.0 9.0
174 9.0 2.0 9.0
175 9.0 2.0 9.0
176 10.0 2.0 9.0
177 10.0 2.0 9.0
178 10.0 2.0 9.0
179 9.0 2.0 9.0
180 9.0 2.0 10.0
181 9.0 2.0 10.0
182 9.0 2.0 10.0
183 9.0 2.0 9.0
184 9.0 2.0 9.0
185 9.0 2.0 9.0
186 9.0 2.0 8.0
187 9.0 2.0 8.0
188 9.0 2.0 8.0
189 9.0 2.0 8.0
190 9.0 2.0 8.0
191 9.0 2.0 8.0
192 9.0 2.0 8.0
193 9.0 2.0 8.0
194 9.0 2.0 8.0
195 9.0 2.0 7.0
196 9.0 2.0 7.0
197 9.0 2.0 7.0
198 9.0 2.0 8.0
199 9.0 2.0 8.0
200 9.0 2.0 8.0
201 9.0 2.0 8.0
202 9.0 2.0 8.0
203 9.0 2.0 8.0
204 9.0 2.0 8.0
205 9.0 2.0 8.0
206 9.0 2.0 8.0
207 9.0 2.0 8.0
208 9.0 2.0 8.0
209 9.0 2.0 8.0
210 9.0 2.0 8.0
211 9.0 2.0 8.0
212 9.0 1.0 8.0
213 9.0 1.0 8.0
214 9.0 1.0 8.0
215 10.0 1.0 8.0
216 10.0 1.0 8.0
217 10.0 1.0 8.0
218 10.0 1.0 8.0
219 10.0 1.0 7.0
220 10.0 1.0 7.0
221 10.0 1.0 7.0
222 10.0 1.0 8.0
223 10.0 1.0 8.0
224 10.0 1.0 8.0
225 10.0 1.0 8.0
226 10.0 1.0 8.0
227 10.0 1.0 8.0
228 10.0 1.0 8.0
229 10.0 1.0 8.0
230 10.0 1.0 8.0
231 10.0 1.0 8.0
232 10.0 1.0 8.0
233 10.0 1.0 8.0
234 11.0 1.0 8.0
235 10.0 1.0 8.0
236 10.0 1.0 8.0
237 10.0 1.0 8.0
238 10.0 1.0 8.0
239 9.0 1.0 8.0
240 9.0 1.0 8.0
241 9.0 1.0 8.0
242 9.0 1.0 8.0
243 9.0 1.0 8.0
244 9.0 1.0 8.0
245 9.0 1.0 8.0
246 8.0 2.0 8.0
247 8.0 2.0 8.0
248 8.0 2.0 8.0
249 8.0 2.0 8.0
250 8.0 2.0 8.0
251 8.0 2.0 8.0
252 8.0 2.0 8.0
253 8.0 2.0 8.0
254 8.0 2.0 8.0
255 8.0 2.0 9.0
256 8.0 2.0 9.0
257 8.0 2.0 9.0
258 8.0 2.0 9.0
259 8.0 2.0 9.0
260 8.0 2.0 9.0
261 8.0 2.0 9.0
262 8.0 2.0 8.0
263 8.0 2.0 8.0
264 8.0 2.0 8.0
265 8.0 2.0 8.0
266 7.0 2.0 8.0
267 7.0 2.0 8.0
268 7.0 2.0 8.0
269 7.0 2.0 8.0
270 7.0 2.0 8.0
271 7.0 2.0 8.0
272 7.0 2.0 8.0
273 7.0 2.0 8.0
274 7.0 2.0 8.0
275 7.0 2.0 8.0
276 7.0 2.0 8.0
277 6.0 2.0 8.0
278 6.0 2.0 8.0
279 6.0 2.0 8.0
280 6.0 2.0 8.0
281 6.0 2.0 8.0
282 6.0 2.0 8.0
283 6.0 2.0 8.0
284 6.0 2.0 8.0
285 6.0 2.0 8.0
286 6.0 2.0 8.0
287 6.0 2.0 8.0
288 6.0 2.0 8.0
289 6.0 2.0 7.0
290 6.0 2.0 7.0
291 6.0 2.0 7.0
292 6.0 2.0 8.0
293 6.0 2.0 8.0
294 6.0 2.0 8.0
295 5.0 2.0 8.0
296 5.0 2.0 8.0
297 5.0 2.0 8.0
298 5.0 2.0 8.0
299 5.0 2.0 8.0
300 5.0 2.0 8.0
301 5.0 2.0 8.0
302 6.0 2.0 8.0
303 6.0 2.0 8.0
304 6.0 2.0 8.0
305 7.0 2.0 8.0
306 7.0 2.0 8.0
307 7.0 2.0 8.0
308 7.0 2.0 8.0
309 7.0 2.0 8.0
310 7.0 2.0 8.0
311 7.0 2.0 8.0
312 7.0 2.0 8.0
313 7.0 2.0 8.0
314 7.0 2.0 8.0
315 7.0 2.0 7.0
316 7.0 2.0 7.0
317 8.0 2.0 7.0
318 8.0 2.0 7.0
319 8.0 2.0 7.0
320 8.0 2.0 7.0
321 8.0 2.0 7.0
322 7.0 2.0 7.0
323 7.0 2.0 7.0
324 7.0 2.0 7.0
325 7.0 2.0 7.0
326 7.0 3.0 7.0
327 7.0 3.0 7.0
328 7.0 3.0 6.0
329 7.0 3.0 6.0
330 7.0 3.0 6.0
331 7.0 4.0 6.0
332 7.0 4.0 6.0
333 7.0 3.0 6.0
334 7.0 3.0 6.0
335 7.0 3.0 6.0
336 7.0 3.0 6.0
337 7.0 3.0 6.0
338 7.0 3.0 6.0
339 7.0 3.0 6.0
340 7.0 3.0 6.0
341 7.0 3.0 6.0
342 7.0 3.0 6.0
343 7.0 3.0 6.0
344 7.0 3.0 6.0
345 7.0 3.0 6.0
346 7.0 4.0 6.0
347 7.0 4.0 6.0
348 7.0 4.0 6.0
349 7.0 4.0 6.0
350 7.0 4.0 6.0
351 7.0 4.0 6.0
352 7.0 4.0 6.0
353 8.0 4.0 6.0
354 8.0 4.0 6.0
355 8.0 4.0 6.0
356 8.0 4.0 6.0
357 8.0 4.0 6.0
358 8.0 4.0 6.0
359 8.0 4.0 6.0
360 8.0 4.0 6.0
361 8.0 4.0 6.0
362 8.0 5.0 6.0
363 8.0 5.0 5.0
364 8.0 5.0 5.0
365 8.0 5.0 5.0
366 8.0 5.0 5.0
367 8.0 5.0 5.0
368 8.0 5.0 5.0
369 8.0 5.0 5.0
370 8.0 5.0 5.0
371 9.0 5.0 5.0
372 9.0 5.0 5.0
373 8.0 5.0 5.0
374 8.0 5.0 5.0
375 8.0 5.0 5.0
376 8.0 5.0 5.0
377 9.0 5.0 5.0
378 9.0 5.0 5.0
379 9.0 5.0 5.0
380 9.0 6.0 5.0
381 9.0 6.0 5.0
382 9.0 6.0 5.0
383 9.0 6.0 5.0
384 8.0 6.0 5.0
385 8.0 6.0 5.0
386 8.0 6.0 5.0
387 8.0 6.0 5.0
388 8.0 6.0 4.0
389 8.0 6.0 4.0
390 8.0 6.0 4.0
391 8.0 6.0 4.0
392 8.0 6.0 4.0
393 8.0 6.0 4.0
394 8.0 6.0 4.0
395 8.0 6.0 4.0
396 8.0 6.0 4.0
397 8.0 6.0 4.0
398 8.0 6.0 4.0
399 8.0 6.0 4.0
400 8.0 6.0 4.0
401 8.0 6.0 5.0
402 8.0 6.0 5.0
403 8.0 6.0 5.0
404 8.0 6.0 5.0
405 8.0 7.0 5.0
406 8.0 7.0 4.0
407 8.0 7.0 4.0
408 8.0 7.0 4.0
409 8.0 7.0 4.0
410 9.0 7.0 4.0
411 9.0 7.0 4.0
412 9.0 7.0 4.0
413 9.0 7.0 4.0
414 9.0 7.0 4.0
415 9.0 7.0 4.0
416 9.0 7.0 4.0
417 9.0 7.0 4.0
418 9.0 7.0 4.0
419 9.0 7.0 4.0
420 9.0 7.0 4.0
